property,seed,basis,arm,realization,init,epochs,baseline,corrected,delta,probe_r2_mean,base_Frob,base_angErr,base_compMAE,base_eigMAE,base_elem,base_iso,base_magMAE,base_vecMAE,corr_Frob,corr_angErr,corr_compMAE,corr_eigMAE,corr_elem,corr_iso,corr_magMAE,corr_vecMAE
dipole,3,primary,random,2,1,16,0.09526028,0.09516869,-9.158999e-05,-0.003000497817993164,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262405,0.09516869,,,,0.10592949,0.19317478
dipole,3,primary,random,2,2,16,0.09526028,0.095146224,-0.00011405349,-0.001893162727355957,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.82624,0.095146224,,,,0.10578645,0.19313405
dipole,3,primary,random,3,0,17,0.09526028,0.09517434,-8.5935e-05,-0.003052949905395508,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826241,0.09517434,,,,0.10594141,0.19317695
dipole,3,primary,random,3,1,17,0.09526028,0.09516329,-9.698421e-05,-0.0025862455368041992,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.82625,0.09516329,,,,0.10588626,0.19315957
dipole,3,primary,random,3,2,19,0.09526028,0.09518413,-7.6144934e-05,-0.0033278465270996094,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262444,0.09518413,,,,0.10597378,0.19319408
dipole,3,primary,random,4,0,17,0.09526028,0.09516777,-9.250641e-05,-0.0030454397201538086,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262444,0.09516777,,,,0.10591971,0.19317509
dipole,3,primary,random,4,1,16,0.09526028,0.09517202,-8.825958e-05,-0.0031458139419555664,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262424,0.09517202,,,,0.10593883,0.19317909
dipole,3,primary,random,4,2,16,0.09526028,0.095144875,-0.00011540204,-0.0019608736038208008,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826245,0.095144875,,,,0.10577492,0.19313063
dipole,3,primary,shuffled,0,0,22,0.09526028,0.09517068,-8.960068e-05,-0.003137946128845215,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262386,0.09517068,,,,0.1059403,0.19317804
dipole,3,primary,shuffled,0,1,17,0.09526028,0.095164776,-9.550154e-05,-0.0028132200241088867,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262377,0.095164776,,,,0.10590639,0.19316679
dipole,3,primary,shuffled,0,2,18,0.09526028,0.09518917,-7.110834e-05,-0.003834247589111328,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826244,0.09518917,,,,0.10604041,0.19321229
dipole,3,primary,shuffled,1,0,20,0.09526028,0.095151566,-0.00010871142,-0.0022017955780029297,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262415,0.095151566,,,,0.10582584,0.19314504
dipole,3,primary,shuffled,1,1,31,0.09526028,0.09515426,-0.00010601431,-0.0019713640213012695,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826236,0.09515426,,,,0.10577778,0.19315076
dipole,3,primary,shuffled,1,2,18,0.09526028,0.095157675,-0.000102601945,-0.002576589584350586,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826239,0.095157675,,,,0.10587464,0.19315568
dipole,3,primary,shuffled,2,0,20,0.09526028,0.09515867,-0.00010161102,-0.0023168325424194336,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262362,0.09515867,,,,0.10584123,0.19315353
dipole,3,primary,shuffled,2,1,16,0.09526028,0.09516811,-9.216368e-05,-0.0029736757278442383,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262396,0.09516811,,,,0.105931826,0.19317251
dipole,3,primary,shuffled,2,2,18,0.09526028,0.095164575,-9.570271e-05,-0.002845168113708496,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262367,0.095164575,,,,0.105911024,0.1931668
dipole,3,primary,shuffled,3,0,19,0.09526028,0.09514423,-0.00011605024,-0.0018610954284667969,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826247,0.09514423,,,,0.10578374,0.19312976
